ID,FolderName,PlantNumber,Side,Start,End,RootVolume,Genotype,Stage,nb_racines,surface_totale,taille_moyenne,ratio_couverture,densite_racines
ID_826322_Lbmaya,A6dzrkjqvl,3,L,33,42,0.9,IITA-TMS-IBA000070,Early,0.32926829268292684,1388.119464502102,802.1555079948612,0.10912888869816183,0.0003074391607962801
ID_718181_Bslpwx,Ypktwvqjbn,7,L,33,41,1.5,IBA154810,Early,0.5853658536585366,2794.193876685166,1216.353571449838,0.20875025069536163,9.76315291301426e-05
ID_465762_L1n61d,Ox18ob0syv,4,R,21,28,2.7,IBA980581,Early,0.524390243902439,2013.3662384312327,840.9430571300228,0.15366164687264905,0.00018075922240798153
ID_626872_Pbmx2e,Hqcekwpxgu,2,R,30,39,2.6,IITA-TMS-IBA000070,Early,0.25609756097560976,1357.5358611316215,539.0183098025439,0.10391634169561964,7.564231193810673e-05
ID_518846_Opko8c,Ummqfuetoc,1,R,17,26,2.7,IBA980581,Early,0.7012195121951219,3274.6210807242046,1829.7320910197932,0.2359671833298789,0.00014764524296996155
ID_167189_Lxr1uc,B5myqsh1wi,4,R,26,35,1.3,TMEB419,Early,0.3353658536585366,1601.543986808963,838.0350756761504,0.1308774727884799,7.940380484583707e-05
ID_171226_Jaqvha,L8w7zu7wek,5,R,27,33,4.5,IITA-TMS-IBA000070,Early,0.6829268292682927,3323.434558403201,1648.8045661740186,0.24633700130218156,0.00012423795034282394
ID_174315_Lw9ftc,Izbgyxre0g,2,L,24,37,3.7,IBA154810,Early,0.8963414634146342,5327.072115270103,2168.9836113162155,0.4033247882762597,0.00014579752967425845
ID_216014_Djn5n6,Vinlgebupo,2,L,23,29,0.4,IBA980581,Early,0.21951219512195122,626.8966905082144,440.8197050792415,0.0519167684439678,0.00028186213136984335
ID_737506_Hrpn4d,Hc3b9gicdo,5,L,37,45,3.1,IITA-TMS-IBA000070,Early,0.5548780487804879,4105.935591348788,1488.9588948691764,0.29892412727925394,0.00016536060802093886
ID_199600_Ewizmo,Lzkaccojep,4,L,24,39,6.2,TMEB419,Early,0.8475609756097561,3028.423500061035,1676.1673288112734,0.22391771656875686,0.00020530426915873942
ID_435671_Aebsus,Q4uyruus4j,4,R,27,33,2.8,IBA980581,Early,1.0975609756097562,4812.842926025391,1845.8140984511956,0.3340496232341723,0.0001906543666747211
ID_619181_Naqnhc,Yxmmb4wt55,4,R,17,32,3.0,IITA-TMS-IBA000070,Early,0.39634146341463417,1743.6989288330078,1077.90441410716,0.13164181315145224,0.00010022167665733206
ID_386102_Nxfbxd,Sauopakhvn,4,R,21,45,0.5,TMEB419,Early,0.4146341463414634,2981.4646599002,1088.476780589034,0.20576015596274674,6.223756165711763e-05
ID_989335_Vfh75b,Mpmvh2mgm3,3,L,32,40,4.9,TMEB419,Early,1.0365853658536586,6484.842064462057,1592.8447991347894,0.4503554768985759,0.0003162432316042039
ID_130988_Lor3j3,B8x7mhxe6z,1,R,20,30,0.8,IBA154810,Early,1.0121951219512195,4370.656577505716,1991.182390166492,0.3234718412249075,0.00025013703967474796
ID_748330_Wng7lt,Kjvcz6bjfj,5,R,26,39,0.2,IBA980581,Early,0.6402439024390244,3068.4603904165874,2057.4045417599564,0.23562930858050635,0.00014995937367751245
ID_682864_Lewqed,Ntqusw7xpb,4,R,37,46,2.2,TMEB419,Early,0.4146341463414634,1755.9463303961404,526.0357290360986,0.1220255858917353,0.0004343669685198907
ID_541673_F5dfwh,Ecxdebmlnr,3,R,25,36,0.02,IITA-TMS-IBA000070,Early,0.4817073170731707,2869.591641309785,935.6905145412538,0.20957533178437934,0.00013840772638685052
ID_700584_N3yrce,V6awcupt6m,5,R,28,39,2.3,TMEB693,Early,0.8963414634146342,6040.42711285847,1692.9927435153868,0.4283895474736432,0.00020433296280077093
ID_389935_Wf0rvu,Ah4ubi4ggi,5,R,27,44,2.3,IITA-TMS-IBA000070,Early,0.5365853658536586,2327.2339604075364,1576.1833056938358,0.1834355896299674,0.00016048322065393973
ID_916044_G6ck2f,Ph2ti2sjzu,3,L,22,35,0.01,IBA980581,Early,0.7012195121951219,3201.814254016411,1530.8430938720703,0.24112771758292725,0.00015120067115788934
ID_414102_Nbkm4z,Vlqr6qhbqk,2,R,32,40,1.8,IBA154810,Early,0.6646341463414634,2075.9133855307973,1007.9677805086461,0.15560539163798837,0.00018547801655361123
ID_912053_Mg3hwe,Idiolerx47,5,L,10,20,3.0,IITA-TMS-IBA000070,Late,2.042682926829268,7166.0038221405775,1995.731548030202,0.5607914998360827,0.00019000016507438516
ID_661969_Lnu1x9,Pw4ytibfql,4,L,25,32,1.5,TMEB419,Early,0.6890243902439024,3575.108218402397,1396.8850232566276,0.2639195042814802,0.0003540171917395738
ID_522599_Uvg4bq,Gernxgxbnu,5,L,14,19,0.0,TMEB419,Late,0.8841463414634146,3616.912850728849,1668.0192632907774,0.27138210533628915,0.00016836662139891492
ID_598519_Gvxcep,Lsdgz02kdp,7,L,29,40,2.1,TMEB693,Early,0.5914634146341463,2319.477514499571,1168.2913736482947,0.16078135680862712,0.0002139661407784476
ID_885908_Ijv0l9,Mpmvh2mgm3,4,L,32,40,4.8,TMEB419,Early,1.0365853658536586,6484.842064462057,1592.8447991347894,0.4503554768985759,0.0003162432316042039
ID_327566_Rnomjq,Xrrcqvdbkw,5,R,27,36,2.9,IBA154810,Early,0.8902439024390244,5207.432427848257,1694.1017713779356,0.38969043534604064,0.00023745791636089057
ID_661938_Ejfr2m,Zplb9xaxis,3,L,19,26,0.3,TMEB693,Late,1.030674846625767,2547.6128659862684,1066.8543281789207,0.1899211536240115,0.00023371373939540116
ID_871687_Ojcyma,Dz9lpsl9ae,5,L,37,46,1.4,TMEB419,Early,0.43902439024390244,2234.791853276695,1204.7524483843547,0.18454353616549013,0.00017501899311990916
ID_824915_A9kvq3,Vlcavd4dwj,5,L,34,42,4.5,IITA-TMS-IBA000070,Early,0.5487804878048781,2480.1511736613948,1434.9277805235329,0.17612079532120367,0.00011755786478226952
ID_624401_Iohnop,Ifqbqqrika,2,L,26,32,1.4,TMEB693,Early,0.5,1361.8976122228112,998.660937239484,0.10691409574715192,0.0005065803961376962
ID_134905_Id9pcw,Qhqftdiz4q,5,R,49,60,1.9,IITA-TMS-IBA000070,Early,0.6890243902439024,2359.6622883401265,1054.861683496615,0.18677454641364435,0.0007253805356328529
ID_260205_Ehppmv,Qhqftdiz4q,4,R,49,60,4.5,IITA-TMS-IBA000070,Early,0.6890243902439024,2359.6622883401265,1054.861683496615,0.18677454641364435,0.0007253805356328529
ID_794937_Y224fs,Pw4ytibfql,5,L,25,32,1.9,TMEB419,Early,0.6890243902439024,3575.108218402397,1396.8850232566276,0.2639195042814802,0.0003540171917395738
ID_677302_Zjlged,Ah4ubi4ggi,4,L,42,49,0.8,IITA-TMS-IBA000070,Early,0.5365853658536586,2327.2339604075364,1576.1833056938358,0.1834355896299674,0.00016048322065393973
ID_432572_Ygv3sh,Xdi1ipcemf,5,R,32,38,4.2,IITA-TMS-IBA000070,Early,0.5548780487804879,2967.44250739493,1271.9512250016376,0.2141916389586186,0.0002469845536560207
ID_387368_Aitmyp,Yznlv6wrsh,3,L,30,39,0.4,DIXON,Early,0.7073170731707317,3309.9615523175494,1655.0595851991234,0.2604431453247711,0.00014253700024054457
ID_684183_Sdvb3a,Pctl4tyb9l,4,L,46,53,7.9,IITA-TMS-IBA000070,Early,0.2682926829268293,1716.302889195884,833.5418046160443,0.13250876699176853,2.9664783598341043e-05
ID_477341_Almkhm,Ubgsvkns3h,4,L,33,40,0.65,IKN130010,Early,0.4329268292682927,2586.356433403201,1087.3934207078887,0.20740807941806974,4.6229606340243375e-05
ID_612373_P9lo1t,Wgutyon8uu,5,R,23,37,1.8,TMEB419,Early,0.6219512195121951,3868.997093293725,1304.1284052220788,0.2700032892191215,0.00012472040768601408
ID_605863_Gfc23p,Rzyf8hal4j,7,L,32,40,1.3,IBA154810,Early,0.5487804878048781,2158.9960492762125,810.1959036850348,0.1620315714095876,0.0003384180837888711
ID_308291_Wsm6xe,Ummqfuetoc,5,L,25,32,2.1,IBA980581,Early,0.7012195121951219,3274.6210807242046,1829.7320910197932,0.2359671833298789,0.00014764524296996155
ID_819632_Ytjapa,Mskdmpitqk,3,R,27,36,1.4,TMEB419,Early,0.8353658536585366,3137.1339856124505,1423.301626112403,0.24627700414214437,0.0005725939872766287
ID_469361_Rhupas,Mskdmpitqk,4,R,27,36,2.1,TMEB419,Early,0.8353658536585366,3137.1339856124505,1423.301626112403,0.24627700414214437,0.0005725939872766287
ID_935675_Rve787,Me1ufzzcxk,5,R,23,32,0.02,TMEB419,Early,0.40853658536585363,2161.930184713224,1052.8278228015433,0.16147786138790218,6.367818677412699e-05
ID_456912_Blrqzy,Ah4ubi4ggi,3,L,42,49,2.3,IITA-TMS-IBA000070,Early,0.5365853658536586,2327.2339604075364,1576.1833056938358,0.1834355896299674,0.00016048322065393973
ID_601291_Krxvyc,Mylwjeq6tq,4,R,19,42,2.7,IBA980581,Early,0.3597560975609756,1498.444697310285,796.4422849329507,0.10702142738848933,8.881655717505212e-05
ID_804694_Fiysfq,Ifqbqqrika,6,L,26,32,0.8,TMEB693,Early,0.5,1361.8976122228112,998.660937239484,0.10691409574715192,0.0005065803961376962
ID_619512_Hveydf,Dz9lpsl9ae,2,R,45,50,0.9,TMEB419,Early,0.43902439024390244,2234.791853276695,1204.7524483843547,0.18454353616549013,0.00017501899311990916
ID_613613_Nlusan,Qinorm9cg3,6,R,22,30,0.4,IBA980581,Early,0.9146341463414634,2699.4485577839177,1283.4369499392626,0.20991773082638102,0.0003427698661530172
ID_211500_Ndgm1d,Vbkivqphuz,5,L,20,32,2.1,TMEB693,Early,0.6524390243902439,3602.3002006716843,1810.6644034036776,0.2710620963482028,8.805831915842192e-05
ID_972865_Fn6ars,Puya1uaaln,3,R,16,37,3.8,TMEB419,Early,0.4451219512195122,1455.3563932093177,1146.6440868842892,0.11224271880250353,0.00013521999175513023
ID_885233_Ay9evt,Ifqbqqrika,3,R,20,25,0.3,TMEB693,Early,0.5,1361.8976122228112,998.660937239484,0.10691409574715192,0.0005065803961376962
ID_378379_Edfqp5,Lsdgz02kdp,4,R,17,27,1.7,TMEB693,Early,0.5914634146341463,2319.477514499571,1168.2913736482947,0.16078135680862712,0.0002139661407784476
